Day,Time,Site,ARU,Species,Abundance
,,,,COYE,1
,,,,NOCA,1
,,,,FICR,2
,,,,PIWO,1
,,,,BHNU,2
,,,,TUTI,1
,,,,BGGN,2
,,,,EABL,1
,,,,EAME,1
,718,,2,WEVI,2
,,,,COYE,1
,,,,MODO,2
,,,,RBWO,2
,,,,BGGN,2
,,,,BHNU,2
,,,,BASP,1
,,,,TUTI,1
,,,,CAWR,3
,,,,NOCA,2
,,,,PIWO,2
,,,,NOPA,1
,,,,GCFL,3
,,,,PIWA,1
,,,,FICR,1
,748,,3,BASP,1
,,,,RBWO,1
,,,,PIWA,1
,,,,NOBO,1
,,,,CAWR,2
,,,,BHNU,2
,,,,NOCA,1
,,,,DOWO,1
,,,,PIWO,1
,,,,WEVI,1
,,,,BGGN,2
,,,,EABL,2
,,,,CGDO,1
,,,,MODO,1
,,,,COYE,2
,,,,NOCA,1
,,,,EATO,1
5/15/23,707,,2,COYE,2
,,,,CAWR,3
,,,,NOCA,1
,,,,NOPA,1
,,,,CGDO,1
,,,,RSHA,1
,,,,MODO,2
,,,,TUTI,1
,,,,WEVI,2
,,,,NOBO,1
,,,,PIWA,1
,,,,DOWO,2
,,,,BGGN,3
,739,,,GCFL,1
,,,,PIWO,1
,,,,EATO,1
,,,,BHNU,1
,,,,EABL,1
,,,,RBWI,3
,,,,BASO,2
,,,3,BASP,1
,,,,CAWR,2
,,,,EATO,1
,,,,DOWO,1
,,,,BGGN,1
,,,,EABL,1
,,,,PIWA,1
,,,,RBWO,1
,,,,COYE,1
,,,,TUTI,1
,,,,GCFL,1
,,,,RSHA,2
,,,,AMCR,6
,,,,BHNU,1
,,,,NOBO,1
,801,,1,BASP,2
,,,,CAWR,2
,,,,MODO,2
,,,,GCFL,1
,,,,PIWA,1
,,,,PIWO,1
,,,,NOCA,1
,,,,CGDO,1
,,,,EABL,1
,,,,TUTI,1
,,,,FICR,1
,,,,NOBO,1
,,,,BGGN,2
,,,,RBWO,1
,,,,COYE,1
,,,,WEVI,1
,,,,PIWO,1
5/30/23,734,Goethe SF,2,CAWR,3
,,,,SUTA,1
,,,,YBCU,1
,,,,RBWO,2
,,,,TUTI,1
,,,,NOCA,1
,,,,MODO,2
,,,,PIWO,1
,,,,NOPA,1
,,,,AMCR,1
,,,,COYE,1
,,,,DOWO,2
,,,,BHNU,2
,,,,RHWO,1
,,,,CACH,2
,,,,PIWA,1
,,,,GCFL,1
,,,,EABL,2
,,,,EATO,1
,,,,YTVI,1
,,,,NOBO,1
,,,,RCWO,1
,758,,3,EATO,2
,,,,PIWA,2
,,,,RBWO,2
,,,,COYE,1
,,,,NOCA,2
,,,,AMCR,1
,,,,TUTI,1
,,,,CAWR,2
,,,,MODO,2
,,,,CACH,1
,,,,GCFL,1
,,,,RHWO,2
,,,,DOWO,1
,,,,PIWO,1
,,,,BHNU,2
,,,,CGDO,2
,,,,NOMO,1
5/31/23,655,,1,YTVI,2
,,,,SUTA,1
,,,,WEVI,1
,,,,MODO,2
,,,,EATO,2
,,,,CACH,2
,,,,NOPA,1
,,,,TUTI,3
,,,,PIWA,3
,,,,CAWR,3
,,,,BGGN,1
,,,,PUMA,8
,,,,COGR,1
,,,,NOCA,1
,,,,RBWO,1
,,,,DOWO,1
,,,,RHWO,1
,,,,PIWO,1
,1002,,2,YTVI,1
,,,,BLJA,1
,,,,PIWA,1
,,,,NOCA,1
,,,,CAWR,2
,,,,RHWO,1
,,,,RCWO,1
,,,,SUTA,2
6/1/23,740,,2,MODO,2
,,,,RBWO,1
,,,,PIWA,2
,,,,EATO,1
,,,,COYE,2
,,,,AMCR,1
,,,,RHWO,1
,,,,BHNU,2
,,,,DOWO,1
,,,,NOCA,1
,,,,SUTA,1
,,,,BGGN,1
,,,,TUTI,2
,,,,YTVI,1
,,,,RBWO,2
,,,,BLJA,1
,757,,3,YTVI,1
,,,,PIWA,3
,,,,RHWO,3
,,,,EATO,2
,,,,CAWR,3
,,,,MODO,1
,,,,TUTI,1
,,,,NOCA,1
,,,,EABL,3
,,,,BHNU,2
,,,,SUTA,1
,,,,BGGN,2
,,,,GCFL,1
,,,,RBWO,1
,,,,DOWO,1
,,,,HAWO,2
,907,,1,YTVI,1
,,,,TUTI,3
,,,,WEVI,1
,,,,PIWA,1
,,,,CAWR,1
,,,,NOPA,1
,,,,PUMA,2
,,,,DOWO,1
,,,,RBWO,1
,,,,AMCR,1
,,,,CACH,4
,,,,EABL,1
,,,,PIWO,2
,,,,BHNU,3
,,,,EATO,1
,,,,RSHA,1
,,,,RHWO,1
,,,,BGGN,1
6/2/23,723,,1,TUTI,7
,,,,BHNU,2
,,,,CACH,3
,,,,CAWR,3
,,,,NOCA,1
,,,,MODO,1
,,,,RHWO,2
,,,,AMCR,1
,,,,PIWA,4
,,,,EABL,2
,,,,PUMA,3
,,,,NOPA,1
,,,,WEVI,1
,,,,BGGN,2
,,,,RBWO,1
,,,,YTVI,1
,,,,COGR,1
,815,,2,RBWO,2
,,,,GCFL,2
,,,,CAWR,2
,,,,PIWA,2
,,,,SUTA,1
,,,,MODO,2
,,,,RHWO,1
,,,,NOCA,2
,,,,YTVI,1
,,,,EATO,2
,,,,NOPA,2
,,,,PIWO,1
,,,,TUTI,1
,,,,AMCR,1
,,,,CACH,1
,,,,BHNU,1
,,,,BGGN,1
,,,,BLJA,1
,838,,3,SUTA,2
,,,,MODO,1
,,,,RHWO,4
,,,,PIWA,1
,,,,GCFL,2
,,,,BGGN,2
,,,,EATO,1
,,,,CACH,1
,,,,CAWR,1
,,,,TUTI,1
,,,,HAWO,1
,,,,DOWO,1
,,,,BHNU,2
,,,,NOBO,2
5/10/21,904,Everglades NP,PI_road,NOCA,4
,,,,WEVI,2
,,,,PIWA,2
,,,,RBWO,4
,,,,DOWO,1
,,,,GCFL,1
,,,,BHCO,1
,,,,MODO,1
,,,,CONI,1
,941,,2_road,NOCA,2
,,,,CAWR,1
,,,,RBWO,4
,,,,WEVI,3
,,,,PIWA,1
,,,,NOMO,1
,,,,CONI,1
,,,,BHNU,1
,,,,NOFL,1
,,,,EATO,1
,,,,EAME,1
,1016,,1_camp,NOMO,2
,,,,EATO,3
,,,,PIWA,1
,,,,RBWO,2
,,,,COGR,2
,,,,NOCA,2
,,,,AMCR,1
,,,,BHNU,4
,,,,MODO,1
,,,,WEVI,1
,,,,BLJA,1
,,,,GHOW,1
,,,,GRKI,1
5/11/21,702,,PI_road,CONI,2
,,,,WEVI,1
,,,,NOCA,5
,,,,RBWO,4
,,,,GCFL,2
,,,,COGR,3
,,,,MODO,2
,,,,DOWO,2
,,,,PIWA,1
,,,,BHCO,2
,,,,RSHA,1
,,,,PIWO,1
,831,,2_road,EATO,3
,,,,PIWA,2
,,,,WEVI,3
,,,,RBWO,3
,,,,AMCR,2
,,,,BHCO,1
,,,,BLJA,3
,,,,CONI,1
,,,,DOWO,1
,,,,NOCA,3
,,,,GCFL,1
,,,,BHNU,3
,908,,1_camp,CONI,1
,,,,PIWA,4
,,,,NOMO,3
,,,,WEVI,2
,,,,BHNU,1
,,,,GCFL,3
,,,,AMCR,2
,,,,EATO,2
,,,,MODO,1
,,,,RBWO,3
,,,,BLJA,1
,,,,NOCA,3
,,,,NOFL,2
,,,,WWDO,1
,,,,DOWO,1
5/12/21,652,,2_road,NOCA,5
,,,,RBWO,3
,,,,WEVI,3
,,,,MODO,2
,,,,CONI,1
,,,,NOMO,1
,,,,PIWA,2
,,,,AMCR,1
,,,,BLJA,1
,,,,GCLF,2
,,,,DOWO,1
,,,,CAWR,1
,,,,NOFL,1
,,,,WWDO,1
,,,,BHNU,1
,728,,1_camp,CAWR,2
,,,,NOCA,3
,,,,CGDO,2
,,,,EATO,2
,,,,NOMO,3
,,,,PIWA,2
,,,,COGR,2
,,,,WWDO,1
,,,,RBWO,2
,,,,NOFL,1
,,,,WEVI,3
,,,,MODO,2
,,,,CONI,1
,,,,GCFL,1
,,,,BLJA,2
,,,,AMRE,1
,829,,PI_road,WEVI,2
,,,,PIWA,1
,,,,NOCA,4
,,,,MODO,1
,,,,RBWO,2
,,,,WWDO,1
,,,,CONI,1
,,,,NOMO,2
,,,,BLJA,1
,,,,DOWO,1
,,,,CGDO,1
5/31/21,645,PSSF,1_far,CAWR,2
,,,,RBWO,3
,,,,PIWO,1
,,,,NOCA,1
,,,,MODO,3
,,,,RSHA,3
,,,,CONI,1
,,,,COGR,4
,,,,NOFL,1
,,,,CGDO,1
,,,,GCFL,3
,,,,BHNU,2
,,,,BLJA,2
,,,,NOBO,1
,,,,PIWA,1
,733,,2_canal,RBWO,2
,,,,GCFL,2
,,,,BRTH,1
,,,,NOMO,1
,,,,BHNU,4
,,,,MODO,2
,,,,CGDO,1
,,,,COGR,1
,,,,BLJA,2
,,,,NOCA,1
,,,,CONI,1
,,,,PIWA,1
,,,,NOBO,1
,,,,AMCR,1
,820,,1_camp,NOCA,2
,,,,CAWR,2
,,,,PIWO,2
,,,,RBWO,4
,,,,NOFL,1
,,,,BHNU,2
,,,,DOWO,1
,,,,PIWA,2
,,,,GCFL,2
,,,,COGR,1
6/1/21,647,,3_camp,CAWR,3
,,,,BHNU,3
,,,,RBWO,3
,,,,NOCA,3
,,,,NOFL,2
,,,,PIWA,1
,,,,PIWO,1
,,,,DOWO,1
,,,,RSHA,1
,,,,GCFL,1
,,,,COGR,2
,718,,2_canal,NOCA,2
,,,,BHNU,5
,,,,PIWA,1
,,,,MODO,3
,,,,CGDO,1
,,,,RBWO,3
,,,,RSHA,1
,,,,GCFL,2
,,,,CAWR,2
,,,,PIWO,1
,,,,WEVI,1
,,,,BLJA,1
,,,,CONI,1
,,,,NOFL,1
,758,,1_far,RBWO,4
,,,,PIWA,3
,,,,GCFL,1
,,,,BLJA,2
,,,,MODO,3
,,,,NOMO,1
,,,,BHNU,2
,,,,NOCA,2
,,,,RSHA,1
,,,,COGR,2
,,,,DOWO,1
,,,,NOBO,1
6/2/21,642,,2_canal,CONI,2
,,,,GCFL,2
,,,,MODO,3
,,,,RBWO,2
,,,,NOCA,2
,,,,DOWO,1
,,,,CGDO,1
,,,,NOMO,2
,,,,RSHA,1
,,,,NOBO,1
,,,,PIWO,1
,,,,BRTH,1
,,,,COGR,4
,719,,3_camp,RSHA,2
,,,,CAWR,3
,,,,RBWO,2
,,,,COGR,2
,,,,NOCA,3
,,,,NOFL,1
,,,,BHNU,1
,,,,DOWO,1
,,,,BLJA,1
,,,,PIWA,1
6/6/21,630,ThreeLakes_WMA,1,WEVI,1
,,,,BGGN,2
,,,,COYE,1
,,,,NOCA,1
,,,,BASP,1
,,,,NOBO,1
,,,,RBWO,2
,,,,NOMO,2
,,,,FICR,3
,,,,MODO,3
,,,,CONI,3
,,,,EAME,1
,,,,GCFL,1
,,,,GHOW,1
,,,,EATO,1
,,,,CGDO,2
,,,,RSHA,1
,707,,2,BASP,4
,,,,MODO,1
,,,,NOBO,2
,,,,RBWO,2
,,,,PIWO,1
,,,,BLJA,2
,,,,COYE,2
,,,,PIWA,1
,,,,CGDO,1
,,,,EAME,1
,,,,NOCA,1
,,,,RSHA,1
,,,,WEVI,1
,,,,CAWR,1
,,,,EABL,2
,,,,NOPA,1
,,,,RHWO,1
,754,,3,RCWO,3
,,,,EABL,1
,,,,GCFL,2
,,,,PIWA,1
,,,,CAWR,3
,,,,EAME,2
,,,,EATO,1
,,,,RBWO,1
,,,,COYE,1
,,,,BGGN,1
,,,,BASP,1
,,,,MODO,1
,,,,YBCU,1
,,,,BHNU,1
,,,,CGDO,2
,,,,NOBO,1
6/7/21,635,,2,BASP,3
,,,,COYE,2
,,,,WEVI,1
,,,,NOBO,1
,,,,BLJA,2
,,,,BHNU,3
,,,,RSHA,1
,,,,EABL,1
,,,,CONI,1
,,,,MODO,1
,,,,RBWO,3
,,,,DOWO,1
,,,,EAME,1
,,,,NOCA,1
,,,,EATP,1
,,,,CAWR,1
,719,,3,BRTH,1
,,,,EATO,1
,,,,MODO,1
,,,,EAME,1
,,,,CAWR,3
,,,,PIWA,1
,,,,BHNU,1
,,,,RBWO,1
,,,,GCFL,1
,,,,BGGN,2
,,,,CGDO,1
,,,,EABL,2
,800,,1,NOCA,1
,,,,COYE,2
,,,,EAME,1
,,,,NOBO,1
,,,,CAWR,1
,,,,NOMO,2
,,,,CONI,1
,,,,PIWO,1
,,,,WEVI,1
,,,,HAWO,1
,,,,RBWO,3
,,,,EATO,1
,,,,BASP,1
,,,,CAWR,1
6/8/21,640,,3,CAWR,2
,,,,EATO,2
,,,,BASP,1
,,,,MODO,4
,,,,BHNU,2
,,,,RBWO,2
,,,,EABL,2
,,,,PIWA,1
,,,,BLJA,1
,,,,COGR,1
,,,,RCWO,3
,,,,FICR,1
,,,,NOBO,1
,,,,EAME,1
,,,,TUTI,1
,,,,BGGN,1
,,,,GCFL,1
,,,,PIWO,1
,726,,1,NOMO,1
,,,,COYE,2
,,,,MODO,2
,,,,EAME,3
,,,,RBWO,3
,,,,DOWO,1
,,,,PIWO,1
,,,,RCWO,4
,,,,NOBO,1
,,,,EABL,1
,,,,PIWA,1
,,,,CGDO,1
,,,,TUTI,1
,,,,GCFL,1
,,,,RHWO,1
,,,,CONI,2
,805,,2,MODO,2
,,,,RBWO,2
,,,,BASP,3
,,,,RHWO,2
,,,,NOBO,1
,,,,DOWO,1
,,,,CAWR,2
,,,,NOPA,1
,,,,EAME,1
,,,,EABL,1
,,,,GCFL,2
,,,,WEVI,1
,,,,BLJA,3
,,,,COYE,1
,,,,BGGN,1
6/22/21,1639,TallTimbers,3,NOBO,3
,,,,RBWO,2
,,,,INBU,1
,,,,COYE,1
,,,,NOCA,4
,,,,EATO,5
,,,,MODO,1
,,,,BHNU,4
,,,,WBNU,1
,,,,RBWO,2
,,,,EABL,5
,,,,NOMO,1
,,,,BASP,1
,,,,RHWO,1
,,,,GCFL,1
,,,,EWPE,1
,,,,BLJA,1
,,,,BLGR,1
,,,,EAKI,1
,,,,PUMA,2
,1734,,2,WBNU,2
,,,,EATO,3
,,,,NOBO,4
,,,,RWBL,2
,,,,CAWR,1
,,,,RCWO,2
,,,,BASP,1
,,,,BAOW,1
,,,,RBWO,3
,,,,NOCA,3
,,,,INBU,2
,,,,AMCR,1
,,,,DOWO,2
,,,,PIWO,1
,,,,EWPE,1
,,,,CGDO,1
,,,,MODO,1
,,,,BLJA,2
,,,,BHCO,1
,,,,RHWO,2
,,,,EAKI,1
,,,,YBCH,1
,,,,OROR,1
,,,,NOMO,1
,,,,GCFL,1
,,,,TUTI,4
,1814,,1,EATO,3
,,,,NOBO,2
,,,,INBU,1
,,,,OROR,1
,,,,NOCA,5
,,,,RBWO,1
,,,,COYE,1
,,,,RHWO,2
,,,,DOWO,1
,,,,BHNU,4
,,,,YBCH,2
,,,,EABL,1
,,,,BLJA,1
,,,,MODO,1
,,,,WBNU,2
,,,,NOFL,1
,,,,BHCO,1
,,,,CAWR,1
,,,,BRTH,1
,,,,MOMO,2
,,,,CGDO,1
,,,,RWBL,1
,,,,GRCA,1
,,,,PIWA,1
6/23/21,643,,1,MODO,2
,,,,CGDO,2
,,,,YBCH,1
,,,,NOCA,4
,,,,BLGR,1
,,,,NOMO,1
,,,,DOWO,1
,,,,COYE,1
,,,,EWPE,1
,,,,NOBO,1
,,,,BRTH,1
,,,,INBU,2
,,,,WBNU,2
,,,,PIWA,1
,,,,BLJA,2
,,,,EATO,4
,,,,CAWR,1
,,,,RBWO,1
,,,,OROR,1
,,,,BHCO,1
,,,,PUMA,4
,,,,EABL,4
,,,,COGR,8
,,,,AMCR,1
,,,,GCFL,1
,,,,RHWO,2
,719,,2,NOBO,1
,,,,BRTH,2
,,,,NOMO,1
,,,,BHCO,1
,,,,RTHA,1
,,,,PIWO,1
,,,,BASW,1
,,,,AMCR,1
,,,,EATO,2
,,,,INBU,1
,,,,EWPE,1
,,,,RBWO,2
,,,,OROR,1
,,,,RWBL,1
,,,,BLGR,1
,,,,WBNU,2
,,,,RHWO,2
,,,,RCWO,1
,,,,NOCA,3
,,,,EABL,3
,,,,COYE,2
,,,,CGDO,1
,,,,MODO,1
,,,,FICR,1
,,,,BASP,1
,,,,LOSH,1
,758,,3,NOBO,1
,,,,RHWO,2
,,,,NOCA,2
,,,,MODO,2
,,,,EATO,1
,,,,BRTH,1
,,,,FISP,2
,,,,INBU,3
,,,,CACH,1
,,,,SUTA,2
,,,,RBWO,3
,,,,NOMO,1
,,,,BLJA,2
,,,,YBCU,1
,,,,BLGR,1
,,,,CAWR,1
,,,,WBNU,2
,,,,PIWA,1
,,,,COYE,1
,,,,EAKI,1
,,,,OROR,1
6/24/21,649,,3,PIWO,1
,,,,NOCA,4
,,,,NOBO,2
,,,,EATO,5
,,,,RBWO,2
,,,,FISP,2
,,,,BLJA,2
,,,,MODO,1
,,,,INBU,2
,,,,CAWR,1
,,,,BLGR,1
,,,,GCFL,1
,,,,COYE,1
,,,,WBNU,1
,,,,BHNU,3
,,,,TUTI,1
,,,,PIWA,3
,,,,BASP,1
,,,,EWPE,1
,802,,2,EATO,1
,,,,BLGR,1
,,,,WBNU,1
,,,,NOBO,1
,,,,PIWO,2
,,,,NOMO,1
,,,,AMCR,3
,,,,COYE,1
,,,,EABL,1
,,,,CGDO,1
,,,,RBWO,1
,,,,RWBL,1
,,,,PIWA,1
,,,,CAWR,1
,,,,TUTI,1
,,,,RHWO,1
,,,,INBU,1
,,,,NOCA,1
,,,,BASP,1
,851,,1,CGDO,2
,,,,NOCA,4
,,,,BLJA,2
,,,,RBWO,1
,,,,INBU,1
,,,,PIWA,1
,,,,COYE,1
,,,,GCFL,1
,,,,MODO,4
,,,,PIWO,1
,,,,RHWO,2
,,,,NOMO,1
,,,,YBCH,2
,,,,BLGR,1
,,,,COGR,2
,,,,CAWR,1
,,,,EATO,1
,,,,DOWO,1
,,,,EABL,1
,,,,GRCA,1
,,,,WBNU,1
,,,,BHCO,2
